offset_hex	length	text
0x0000155b	8	こうげき
0x00001564	8	ぼうぎょ
0x00001572	14	かんがえちゅう
0x0000158d	10	メラゾーマ
0x000015a6	8	ドルクマ
0x000015af	10	ドルモーア
0x000015ba	10	ヒャダルコ
0x000015c5	8	マヒャド
0x000015da	10	バギクロス
0x000015f1	10	イオナズン
0x00001608	10	ザラキーマ
0x00001613	8	メガンテ
0x0000161c	8	マダンテ
0x0000162c	8	ベホイミ
0x00001635	8	ベホイム
0x00001645	10	ベホマラー
0x00001650	8	キアリー
0x00001659	8	キアリク
0x00001669	8	ザオラル
0x00001672	8	ザオリク
0x0000167b	8	メガザル
0x0000168b	8	スクルト
0x0000169b	8	ルカナン
0x000016ab	8	ピオリム
0x000016bb	8	ボミオス
0x000016c4	10	バイキルト
0x000016cf	8	ヘナトス
0x000016d8	8	メダパニ
0x000016e1	12	メダパニーマ
0x000016ee	8	ラリホー
0x000016f7	10	ラリホーマ
0x00001702	10	マホカンタ
0x0000170d	10	マホバリア
0x00001718	14	マジックバリア
0x00001727	10	マホトーン
0x00001732	8	マヌーサ
0x00001742	8	フバーハ
0x0000174b	16	ディバインスペル
0x0000175c	17	ドラゴン[斬/ぎ]り
0x0000176e	15	メタル[斬/ぎ]り
0x0000177e	14	ミラクルソード
0x0000178d	17	はやぶさ[斬/ぎ]り
0x0000179f	14	ギガスラッシュ
0x000017ae	12	ギガブレイク
0x000017bb	12	しっぷうづき
0x000017c8	10	けものづき
0x000017d3	14	きゅうしょづき
0x000017e2	19	[一閃/いっせん]づき
0x000017f6	12	さみだれづき
0x00001803	12	ジゴスパーク
0x00001810	14	ポイズンダガー
0x0000181f	12	キラーブーン
0x0000182c	14	タナトスハント
0x0000183b	16	アサシンアタック
0x0000184c	16	バンパイアエッジ
0x0000185d	16	ヒュプノスハント
0x0000186e	14	まふうじのつえ
0x0000187d	19	[悪魔/あくま]ばらい
0x00001891	16	しゅくふくのつえ
0x000018a2	14	ふっかつのつえ
0x000018b1	15	らせん[打/う]ち
0x000018c1	15	[愛/あい]のムチ
0x000018d1	15	ねむり[打/う]ち
0x000018e1	15	しばり[打/う]ち
0x000018f1	14	ヒールウィップ
0x00001900	29	[双/そう][竜/りゅう][打/う]ち
0x0000191e	28	[地這/ちは]い[大蛇/だいじゃ]
0x0000193b	15	[足/あし]ばらい
0x0000194b	19	[黄泉送/よみおく]り
0x0000195f	10	なぎはらい
0x0000196a	25	[氷結/ひょうけつ]らんげき
0x00001984	21	[天地/てんち]のかまえ
0x0000199a	14	ウィングブロウ
0x000019a9	21	[裂鋼拳/れっこうけん]
0x000019bf	16	ネイルスクラッチ
0x000019d0	14	タイガークロー
0x000019df	18	ゴールドフィンガー
0x000019f2	16	ゴッドスマッシュ
0x00001a03	15	[花/はな]ふぶき
0x00001a13	12	といきがえし
0x00001a20	23	[波紋演舞/はもんえんぶ]
0x00001a38	23	[風姿花伝/ふうしかでん]
0x00001a50	12	おうぎのまい
0x00001a5d	14	ハッスルダンス
0x00001a6c	15	かぶと[割/わ]り
0x00001a7c	17	たいぼく[斬/ざん]
0x00001a8e	25	[蒼天魔斬/そうてんまざん]
0x00001aa8	15	まじん[斬/ぎ]り
0x00001ab8	10	オノむそう
0x00001ac3	33	[森羅万象斬/しんらばんしょうざん]
0x00001ae5	14	ハートブレイク
0x00001af4	16	ゴールドハンマー
0x00001b05	14	ラストバッター
0x00001b14	16	ドラムクラッシュ
0x00001b25	16	ランドインパクト
0x00001b36	10	ビッグバン
0x00001b41	14	クロスカッター
0x00001b50	14	パワフルスロー
0x00001b5f	14	スライムブロウ
0x00001b6e	16	シャインスコール
0x00001b7f	16	バーニングバード
0x00001b90	14	メタルウィング
0x00001b9f	10	ギガスロー
0x00001baa	14	マジックアロー
0x00001bb9	14	バードシュート
0x00001bc8	16	ニードルショット
0x00001bd9	12	さみだれうち
0x00001be6	22	[天使/てんし]の[矢/や]
0x00001bfd	16	シャイニングボウ
0x00001c0e	16	シールドアタック
0x00001c1f	17	[大/だい]ぼうぎょ
0x00001c31	14	ビッグシールド
0x00001c40	14	ミラーシールド
0x00001c4f	18	うけながしのかまえ
0x00001c62	12	まもりのたて
0x00001c6f	15	[石/いし]つぶて
0x00001c7f	10	かまいたち
0x00001c8a	12	せいけんづき
0x00001c97	12	ばくれつけん
0x00001ca4	21	[岩石/がんせき]おとし
0x00001cba	14	ミラクルムーン
0x00001cd0	8	くちぶえ
0x00001cd9	17	[体当/たいあ]たり
0x00001ceb	14	ロストアタック
0x00001cfa	12	やいばくだき
0x00001d07	24	[聖/せい]なる[祈/いの]り
0x00001d20	28	[聖女/せいじょ]の[守/まも]り
0x00001d3d	12	ゾンビガード
0x00001d4a	14	ひかりのはどう
0x00001d59	14	ぶきみなひかり
0x00001d68	19	[魔結界/まけっかい]
0x00001d7c	16	せいしんとういつ
0x00001d8d	23	[魔力/まりょく]かくせい
0x00001da5	12	つきのはどう
0x00001db2	8	おたけび
0x00001dc2	12	ふとうふくつ
0x00001dcf	18	しんとうめっきゃく
0x00001de2	8	めいそう
0x00001df2	8	みやぶる
0x00001dfb	20	[火/ひ]ふき[芸/げい]
0x00001e10	8	おうえん
0x00001e1e	8	ツッコミ
0x00001e27	17	とうこん[討/う]ち
0x00001e40	21	[無心/むしん]こうげき
0x00001e56	15	もろば[斬/ぎ]り
0x00001e66	16	テンションバーン
0x00001e77	16	ファイアフォース
0x00001e88	14	アイスフォース
0x00001e97	16	ストームフォース
0x00001ea8	14	ダークフォース
0x00001eb7	14	ライトフォース
0x00001ec6	10	におうだち
0x00001ed1	10	ＨＰパサー
0x00001edc	10	ＭＰパサー
0x00001ee7	8	みがわり
0x00001ef0	16	グランドネビュラ
0x00001f01	17	いやしの[雨/あめ]
0x00001f13	14	いてつくはどう
0x00001f22	14	しんぴのさとり
0x00001f31	12	スキャンダル
0x00001f3e	12	メイクアップ
0x00001f4b	14	スポットライト
0x00001f5a	23	バックダンサー[呼/よ]び
0x00001f72	14	たたかいのうた
0x00001f81	8	みのがす
0x00001f8a	8	なだめる
0x00001f93	8	ステルス
0x00001f9c	12	まもりのきり
0x00001fa9	16	オオカミアタック
0x00001fc1	8	リレミト
0x00001fca	8	トラマナ
0x00001fd3	12	かみのおつげ
0x00001fe0	8	おはらい
0x00001fe9	10	おとしあな
0x00001ff4	14	とうぞくのはな
0x00002003	14	おたからさがし
0x00002012	14	ダーマのさとり
0x00002029	8	ひのいき
0x00002032	12	かえんのいき
0x0000203f	10	あまいいき
0x0000204a	10	どくのいき
0x00002055	10	ねむり攻撃
0x00002060	8	どく攻撃
0x00002069	18	テンション下げ攻撃
0x0000207c	10	鎌ブンブン
0x00002087	21	[怪光線/かいこうせん]
0x0000209d	8	とつげき
0x000020a6	8	やくそう
0x000020af	16	からにとじこもる
0x000020c0	8	くすぐる
0x000020c9	12	さそうおどり
0x000020d6	14	ふしぎなおどり
0x000020e5	8	顔を洗う
0x000020ee	12	いなずまづき
0x000020fb	8	ぱふぱふ
0x00002104	12	魔女の眼差し
0x00002111	24	アイテム使用無効アイテム
0x0000212a	19	まどうしの[杖/つえ]
0x0000213e	19	[上/じょう]やくそう
0x00002152	12	どくけしそう
0x0000215f	12	まんげつそう
0x0000216c	8	せいすい
0x00002175	14	キメラのつばさ
0x00002184	19	[命/いのち]のきのみ
0x00002198	14	ふしぎなきのみ
0x000021a7	14	はげしいほのお
0x000021b6	10	しゃくねつ
0x000021c1	14	れんごくかえん
0x000021d0	12	つめたいいき
0x000021dd	12	こおりのいき
0x000021ea	14	こごえるふぶき
0x000021f9	12	かがやくいき
0x00002206	14	もうどくのきり
0x00002215	12	やけつくいき
0x00002222	8	マヒ攻撃
0x0000222b	12	こんらん攻撃
0x00002238	12	もうどく攻撃
0x00002245	16	アイスジャベリン
0x0000225d	16	スカッドミサイル
0x0000226e	15	かえん[斬/ぎ]り
0x0000227e	17	マヒャド[斬/ぎ]り
0x00002295	14	きゅうしょ攻撃
0x000022a4	17	キャノン[砲/ほう]
0x000022b6	14	バードカッター
0x000022c5	8	いなずま
0x000022dc	8	じひびき
0x000022e5	10	ビーム攻撃
0x000022f0	12	さみだれぎり
0x000022fd	18	マデュライトビーム
0x00002310	10	おしつぶす
0x0000231b	17	もうどく[弾/だん]
0x0000232d	12	トゲミサイル
0x0000233a	16	スライムシャワー
0x0000234b	12	メラストーム
0x00002358	8	氷おとし
0x00002361	10	しんくうは
0x0000236c	18	ロケットランチャー
0x00002384	10	波動砲攻撃
0x0000238f	10	のしかかる
0x0000239a	14	笑いながら攻撃
0x000023a9	14	ボディアタック
0x000023b8	14	ツメできりさく
0x000023c7	14	ツメを振り回す
0x000023d6	16	いきりたって攻撃
0x000023e7	10	飛びかかる
0x000023f2	8	弓矢うち
0x000023fb	18	はげしく斬りつける
0x0000240e	8	かみつく
0x00002417	8	ふみつけ
0x00002420	10	はりたおす
0x0000242b	10	Ｗアタック
0x00002436	14	せかいじゅのは
0x00002445	14	メガザルダンス
0x00002454	10	すなけむり
0x0000245f	8	ねんえき
0x00002468	17	ねんまく[弾/だん]
0x0000247a	12	かすみがくれ
0x00002487	8	すみ攻撃
0x00002490	14	まぶしいひかり
0x0000249f	10	うけながし
0x000024aa	12	さじんのヤリ
0x000024b7	19	ストロスの[杖/つえ]
0x000024cb	17	マグマの[杖/つえ]
0x000024dd	14	スーンスタッフ
0x000024ec	18	ウィザードスタッフ
0x000024ff	17	まてきの[杖/つえ]
0x00002511	18	ガナンのおうしゃく
0x00002524	19	ドラゴンの[杖/つえ]
0x00002538	14	きりんのおうぎ
0x00002547	19	ケイロンの[弓/ゆみ]
0x0000255b	17	ほのおの[盾/たて]
0x0000256d	17	こおりの[盾/たて]
0x0000257f	19	ふうじんの[盾/たて]
0x00002593	19	おやぶんの[盾/たて]
0x000025a7	28	[大/おお]おやぶんの[盾/たて]
0x000025c4	14	いのりのゆびわ
0x000025d3	17	[特/とく]やくそう
0x000025e5	10	いやしそう
0x000025f0	23	[上/じょう]どくけしそう
0x00002608	21	[特/とく]どくけしそう
0x0000261e	10	きつけそう
0x00002629	12	つきのめぐみ
0x00002636	19	[天使/てんし]のすず
0x0000264a	14	ばんのうぐすり
0x00002659	25	[超/ちょう]ばんのうぐすり
0x00002673	18	せかいじゅのしずく
0x00002686	16	まほうのせいすい
0x00002697	18	けんじゃのせいすい
0x000026aa	18	エルフののみぐすり
0x000026bd	14	おかしなくすり
0x000026cc	12	どくがのこな
0x000026d9	14	まだらくもいと
0x000026e8	17	ばくだん[石/いし]
0x000026fa	19	けんじゃの[石/いし]
0x0000270e	19	ミミックの[石/いし]
0x00002722	19	ぜんめつの[石/いし]
0x00002736	12	ちからのたね
0x00002743	14	きようさのたね
0x00002752	14	すばやさのたね
0x00002761	12	まもりのたね
0x0000276e	14	まりょくのたね
0x0000277d	14	しんこうのたね
0x0000278c	12	スキルのたね
0x00002799	12	うつくしそう
0x000027a6	17	ゆめみの[花/はな]
0x000027b8	17	めざめの[花/はな]
0x000027ca	18	ハッピークラッカー
0x000027dd	14	おせちりょうり
0x000027ec	14	ふつうのチョコ
0x000027fb	14	ごうかなチョコ
0x0000280a	16	ふつうのクッキー
0x0000281b	16	ごうかなクッキー
0x0000282c	16	クリスマスケーキ
0x0000283d	16	バースデーケーキ
0x0000284e	10	ベホマズン
0x00002859	8	マホトラ
0x00002862	16	やいばのぼうぎょ
0x00002873	10	サインぜめ
0x0000287e	16	ゴールドシャワー
0x0000288f	32	[会心/かいしん][必中/ひっちゅう]
0x000028b0	14	ゴスペルソング
0x000028bf	14	ミラクルゾーン
0x000028ce	15	[一喝/いっかつ]
0x000028de	21	お[宝/たから]ハンター
0x000028f4	18	アクロバットスター
0x00002907	18	テンションブースト
0x0000291a	16	ＥＸＰルーレット
0x0000292b	16	パラディンガード
0x0000293c	24	[神/かみ]の[息吹/いぶき]
0x00002955	27	[妖精/ようせい]たちのポルカ
0x00002971	19	[覇王斬/はおうざん]
0x00002985	18	スペクタクルショー
0x00002998	18	テンションマスター
0x000029ab	18	スーパールーレット
0x000029be	28	[精霊/せいれい]の[守/まも]り
0x000029db	16	ダンスフィーバー
0x000029ec	25	[超/ちょう]ミラクルゾーン
0x00002a06	16	やまびこのさとり
0x00002a17	12	やみのブレス
0x00002a24	14	ひかりのブレス
0x00002a33	17	いなずま[斬/ぎ]り
0x00002a45	14	おうふくビンタ
