action_id_decimal,action_id_hex,action_name,action_name_status,source_table,target_side_code,target_side,target_side_ja,target_scope_code,target_scope,target_scope_ja,formation_class,formation_class_ja,is_formation_ignored,is_formation_used,is_all_attack,is_all_targets_on_side,is_group_attack,is_opponent_only,is_ally_only,is_self_only,repeat_mode_code,operation_type,resource_cost,target_handler_judgment1,target_handler_judgment2,runtime_validation,classification_confidence
1,0x001,こうげき,actname_indexed,b,1,opponent,相手側,5,single_formation,隊列使用単体,opponent_single_formation_used,隊列使用,false,true,false,false,false,true,false,false,0,1,0,0,1,confirmed: runtime side=1 scope=5; formation-used normal attack; observed three times,confirmed
2,0x002,こうげき,actname_indexed,b,1,opponent,相手側,5,single_formation,隊列使用単体,opponent_single_formation_used,隊列使用,false,true,false,false,false,true,false,false,0,1,0,0,1,not_observed,supported
3,0x003,ぼうぎょ,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,0,0,0,0,not_observed,supported
6,0x006,移動,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,0,0,0,0,not_observed,supported
7,0x007,かんがえちゅう,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,0,0,0,0,not_observed,supported
9,0x009,メラ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,7,2,not_observed,supported
10,0x00a,メラミ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,6,7,2,not_observed,supported
11,0x00b,メラゾーマ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,18,7,2,not_observed,supported
12,0x00c,ヒャド,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,7,2,not_observed,supported
13,0x00d,ドルマ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,4,7,2,not_observed,supported
14,0x00e,ドルクマ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,7,7,2,not_observed,supported
15,0x00f,ドルモーア,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,20,7,2,not_observed,supported
16,0x010,ヒャダルコ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,8,8,3,not_observed,supported
17,0x011,マヒャド,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,24,0,4,not_observed,supported
18,0x012,バギ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,3,8,3,not_observed,supported
19,0x013,バギマ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,8,8,3,not_observed,supported
20,0x014,バギクロス,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,26,8,3,not_observed,supported
21,0x015,イオ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,5,0,4,not_observed,supported
22,0x016,イオラ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,10,0,4,not_observed,supported
23,0x017,イオナズン,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,28,0,4,not_observed,supported
24,0x018,ザキ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,17,5,7,2,not_observed,supported
25,0x019,ザラキ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,17,10,8,3,not_observed,supported
26,0x01a,ザラキーマ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,17,20,0,4,not_observed,supported
27,0x01b,メガンテ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,35,1,5,6,not_observed,supported
28,0x01c,マダンテ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,255,5,6,not_observed,supported
