ID,Model ID,Japanese,English,Spanish,French,German,Italian,ROM Radius Record Index,ROM Model ID,Model ID Match,Radius Source,Radius Source Hex,Battle Radius,Battle Radius Hex
0001,z000a,スライム,slime,limo,gluant,Schleim,Slime,0,z000a,1,819,0x0333,3276,0x0ccc
0002,z000b,スライムベス,she-slime,lima,gluante,Schleimette,Slime arancione,1,z000b,1,819,0x0333,3276,0x0ccc
0003,z000c,メタルスライム,metal slime,limo metálico,gluant de métal,Metallschleim,Slime grigio,2,z000c,1,819,0x0333,3276,0x0ccc
0004,z007a,ドラキー,dracky,dracanino,vampivol,Drako,Vampistrello,3,z007a,1,1331,0x0533,5324,0x14cc
0005,z007b,タホドラキー,drackmage,dracanino mago,vampimage,Drakomagus,Verdestrello,4,z007b,1,1331,0x0533,5324,0x14cc
0006,z007c,ドラキーマ,drackyma,dracanina,vampivolle,Drakina,Vampistrello giallo,5,z007c,1,1331,0x0533,5324,0x14cc
0007,z011a,メラゴースト,firespirit,alma ígnea,feu follet,Feuergeist,Fuoco fatuo,6,z011a,1,737,0x02e1,2948,0x0b84
0008,z011b,さまようたましい,lost soul,alma extraviada,flammerolle,Verlorene Seele,Fuoco blu,7,z011b,1,737,0x02e1,2948,0x0b84
0009,z013a,おばけキノコ,funghoul,seta macabra,champigoule,Pestpilz,Nauseafungus,8,z013a,1,1433,0x0599,5732,0x1664
000a,z013b,マタンゴ,Morphean mushroom,seta onírica,champitox,Schlafpilz,Violafungus,9,z013b,1,1433,0x0599,5732,0x1664
000b,z013c,マージマタンゴ,mushroom mage,seta mágica,champimage,Pilzmagier,Magifungo,10,z013c,1,1433,0x0599,5732,0x1664
000c,z036a,ねこまどう,meowgician,magato,miaougicien,Miaugier,Miago,11,z036a,1,2048,0x0800,8192,0x2000
000d,z036b,ジャガーメイジ,clawcerer,miauchicero,sorciergrif,Nekromaunz,Magifelino,12,z036b,1,2048,0x0800,8192,0x2000
000e,z036c,ベンガルクーン,purrestidigitator,hechironrroneador,prestigriffitateur,Schnurrke,Artiglio stregato,13,z036c,1,2048,0x0800,8192,0x2000
000f,z015a,ホイミスライム,healslime,medulimo cicatrizante,médigluant,Doktorschleim,Dottor Slime,14,z015a,1,819,0x0333,3276,0x0ccc
0010,z015b,しびれくらげ,man o' war,medusa guerrera,méduse,Seeblase,Medusa,15,z015b,1,819,0x0333,3276,0x0ccc
0011,z015c,ベホイミスライム,medislime,semimedulimo,coagluant,Arztschleim,Medislime,16,z015c,1,819,0x0333,3276,0x0ccc
0012,z015d,ベホイムスライム,sootheslime,alivialimo,gluantibio,Pflegerschleim,Lenislime,17,z015d,1,819,0x0333,3276,0x0ccc
0013,z015e,ベホマスライム,cureslime,medulimo curativo,guérigluant,Heilschleim,Curaslime,18,z015e,1,819,0x0333,3276,0x0ccc
0014,z018a,メタッピー,mecha-mynah,maquipájaro,rouage-gorge,Metallmeise,Pettirobot,19,z018a,1,1945,0x0799,7780,0x1e64
0015,z018b,アイアンクック,robo-robin,robopájaro,engrenoiseau,Dampfdrossel,Pettirobot nero,20,z018b,1,1945,0x0799,7780,0x1e64
0016,z018c,ガチャコッコ,clockwork cuckoo,mecanipájaro,coucou mécanique,Stahlspatz,Meccanicucù,21,z018c,1,1945,0x0799,7780,0x1e64
0017,z005a,リリパット,bodkin archer,arquero punzante,archer vert,Schützenwicht,Anselmo Tell,22,z005a,1,1228,0x04cc,4912,0x1330
0018,z005b,どくやずきん,bodkin fletcher,flechero punzante,dardeur,Pfeilwicht,Robin Good,23,z005b,1,1228,0x04cc,4912,0x1330
0019,z005c,アローインプ,bodkin bowyer,tirador encapuchado,tire-flèches,Bogenwicht,Tegolas,24,z005c,1,1228,0x04cc,4912,0x1330
001a,z014a,バブルスライム,bubble slime,burbujilimo,gluanbulle,Blasenschleim,Bollaslime,25,z014a,1,1433,0x0599,5732,0x1664
001b,z014b,はぐれメタル,liquid metal slime,burbujilimo metálico,gluant de mercure,Flüssigmetallschleim,Liquislime,26,z014b,1,1433,0x0599,5732,0x1664
001c,z002a,おおきづち,hammerhood,mazador,marteleur,Hämmerling,Martellus,27,z002a,1,2048,0x0800,8192,0x2000
001d,z002b,ブラウニー,brownie,macero,martebrun,Hammerkauz,Martellus magnus,28,z002b,1,2048,0x0800,8192,0x2000
001e,z019a,ゆうれい,spirit,espíritu,esprit,Geist,Spyr,29,z019a,1,1638,0x0666,6552,0x1998
001f,z019b,しにがみ,mean spirit,espíritu malvado,esprit frappeur,Garstige Geist,Malvaspyr,30,z019b,1,1638,0x0666,6552,0x1998
0020,z037a,じんめんちょう,batterfly,chafaposa,peurpillon,Zerschmetterling,Alabatt,31,z037a,1,1433,0x0599,5732,0x1664
0021,z037b,ひとくいが,betterfly,golpeposa,frappillon,Zerschmeißfliege,Neo Alabatt,32,z037b,1,1433,0x0599,5732,0x1664
0022,z037c,しびれあげは,dread admiral,mariposón,papilon,Furchtbare Falter,Gigabatt,33,z037c,1,1433,0x0599,5732,0x1664
0023,z029a,みならいあくま,winkster,truhán,fée tide,Blinzler,Lampeggino,34,z029a,1,1351,0x0547,5404,0x151c
0024,z029b,ベビーマジシャン,blinkster,bribón,fée brile,Zwinkerer,Occhiolino,35,z029b,1,1351,0x0547,5404,0x151c
0025,z029c,ひとつめピエロ,jinkster,tunante,fée lée,Blödler,Sveltolino,36,z029c,1,1351,0x0547,5404,0x151c
0026,z009a,ひとくいばこ,cannibox,cofre caníbal,canniboîte,Fresskiste,Cannibaule,37,z009a,1,1484,0x05cc,5936,0x1730
0027,z009b,ミミック,mimic,cofre mimético,imitapeur,Imitator,Skrigno dentato,38,z009b,1,1484,0x05cc,5936,0x1730
0028,z009c,パンドラボックス,Pandora's box,caja de Pandora,boîte de Pandore,Pandorabüchse,Skrigno a molla,39,z009c,1,1484,0x05cc,5936,0x1730
0029,z024a,メーダ,lunatick,selenita,luna-tique,Zänkische Zecke,Solletinsetto,40,z024a,1,1331,0x0533,5324,0x14cc
002a,z024b,メーダロード,raving lunatick,selenita lunático,fana-tique,Wirre Wanze,Solletinsetto ferox,41,z024b,1,1331,0x0533,5324,0x14cc
002b,z017a,わらいぶくろ,bag o' laughs,saco de risas,maransac,Lachsack,Sacco golosone,42,z017a,1,798,0x031e,3192,0x0c78
002c,z017b,おどるほうせき,goodybag,saco de joyas,sacatrésor,Klunkerbeutel,Sacco ghiottone,43,z017b,1,1228,0x04cc,4912,0x1330
002d,z038a,ギズモ,cumaulus,cúmulo,flammulus,Wolkenketzer,Cumulus,44,z038a,1,1331,0x0533,5324,0x14cc
002e,z038c,ヒートギズモ,hell niño,borrascazo,cramulus,Wütende Wolke,Cumulus infernale,45,z038c,1,1331,0x0533,5324,0x14cc
002f,z038b,フロストギズモ,freezing fog,niebla helada,brumulus,Frostnebel,Cumulus gelido,46,z038b,1,1331,0x0533,5324,0x14cc
0030,z033a,シールドこぞう,leery lout,sonrisillas receloso,bouclieux,Listige Lümmel,Bandido,47,z033a,1,1638,0x0666,6552,0x1998
0031,z033b,ダークホビット,grim grinner,sonrisillas siniestro,boucliblindé,Grimmige Grinser,Minifante,48,z033b,1,1638,0x0666,6552,0x1998
0032,z033c,ビッグフェイス,gum shield,sonrillisas dentón,rebonclier,Zähneblecker,Stopper,49,z033c,1,1638,0x0666,6552,0x1998
0033,z058a,テンツク,slugger,calandraca,limasson,Miesmade,Lentolus,50,z058a,1,1536,0x0600,6144,0x1800
0034,z058b,スーパーテンツク,sluggernaut,calandraca movediza,limassif,Mördermade,Tensinsetto,51,z058b,1,1536,0x0600,6144,0x1800
0035,z058c,ラストテンツク,sluggerslaught,calandraca asesina,limastard,Massakermade,Calmassacrator,52,z058c,1,1536,0x0600,6144,0x1800
0036,z061a,ピンクモーモン,pink sanguini,sanguinino rosa,sanguini rose,Fledersau,Sanguonicum,53,z061a,1,1228,0x04cc,4912,0x1330
0037,z061b,マポレーナ,genie sanguini,genio sanguinino,sanguini irisé,Flederdschinn,Bonsang,54,z061b,1,1228,0x04cc,4912,0x1330
0038,z061c,モーモン,teeny sanguini,sanguinino,sanguini vache,Flederkuh,Sanguinis,55,z061c,1,1228,0x04cc,4912,0x1330
0039,z063a,ズッキーニャ,cruelcumber,pepinillo guerrero,concombrageur,Saure Gurke,Verdurfante,56,z063a,1,2048,0x0800,8192,0x2000
003a,z063b,ぶっちズキーニャ,zumeanie,pepinillo revenido,tropiconcombre,Zickige Zucchini,Cetriolo del caos,57,z063b,1,2048,0x0800,8192,0x2000
003b,z063c,ブラックベジター,scourgette,pepinillo pasado,secourgette,Knallgurke,Esplortaggio,58,z063c,1,2048,0x0800,8192,0x2000
003c,z059a,ウパソルジャー,wooper trooper,tritón guerrero,défamphibien,Molchstrolch,Combamandra,59,z059a,1,1484,0x05cc,5936,0x1730
003d,z059b,かいぞくウーパー,salamarauder,salamandro piratón,amphigien,Salamarodeur,Salamala,60,z059b,1,1484,0x05cc,5936,0x1730
003e,z059c,ウパパロン,axolhotl,axalote,ardamphibien,Schwertlurch,Aholhotl,61,z059c,1,1484,0x05cc,5936,0x1730
003f,z060a,ドロザラー,sacksquatch,sacalodo,sacasable,Sandsack,Sacksabb,62,z060a,1,1433,0x0599,5732,0x1664
0040,z060b,ようがんピロー,bagma,sacamagma,lavensac,Feuerbeutel,Lavagma,63,z060b,1,1433,0x0599,5732,0x1664
004b,z077a,スライムタワー,slime stack,trío limoso,aggluantin,Schleimstapel,Torreslime,64,z077a,1,1024,0x0400,4096,0x1000
004c,z077b,メタルブラザーズ,metal medley,trío metalimoso,métaggluantin,Stahlstaffel,Metallikon,65,z077b,1,1024,0x0400,4096,0x1000
004d,z077c,ゴールデントーテム,gem jamboree,trío ororoso,aggluandor,Edelschleimturm,Splendijem,66,z077c,1,1024,0x0400,4096,0x1000
004e,z078a,もみじこぞう,leafy larrikin,maldad patuda otoñal,foufolia,Blätterbalg,Fante fronduto,67,z078a,1,2048,0x0800,8192,0x2000
004f,z078b,まだらイチョウ,bud brother,maldad patuda,folidaire,Knospenknilch,Cespinfame,68,z078b,1,2048,0x0800,8192,0x2000
0050,z065a,デンデンがえる,gastropog,gasterópodo,gastérapaud,Schreckschnecke,Ranguscio,69,z065a,1,1843,0x0733,7372,0x1ccc
