action_id_decimal,action_id_hex,action_name,target_side,target_scope,formation_class,operation_type,has_sp_bact,trigger_class,camera_cpp_behavior,call_rule,param5_rule,confidence,direct_selector_suppressed,direct_tracking_rng_count,membership_tracking_source_count,membership_nontracking_source_count
1,0x001,こうげき,opponent,single_formation,opponent_single_formation_used,1,false,observed_actor_membership_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_in_supplied_player_state,,,33,590
2,0x002,こうげき,opponent,single_formation,opponent_single_formation_used,1,false,observed_actor_membership_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_in_supplied_player_state,,,33,590
3,0x003,ぼうぎょ,ally,self,self,0,false,runtime_membership_or_none,state_dependent,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,candidate_requires_runtime_membership,,,0,1
6,0x006,移動,ally,self,self,0,false,runtime_membership_or_none,state_dependent,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,candidate_requires_runtime_membership,,,0,0
7,0x007,かんがえちゅう,ally,self,self,0,false,runtime_membership_or_none,state_dependent,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,candidate_requires_runtime_membership,,,0,0
9,0x009,メラ,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,false,0,0,0
10,0x00a,メラミ,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,false,0,0,0
11,0x00b,メラゾーマ,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,false,0,0,0
12,0x00c,ヒャド,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,true,0,0,0
13,0x00d,ドルマ,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,true,0,0,0
14,0x00e,ドルクマ,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,true,0,0,0
15,0x00f,ドルモーア,opponent,single,opponent_single_formation_ignored,1,true,action_bact_then_selector,free_camera_candidate,trigger source AND not selector-suppressed/reset-only,turnActionIndex==0 OR later-action exception,confirmed_fixed_data,true,0,0,1
